6.7593,2.9984,0
-2.6289,3.9746,0
0.88878,-1.4335,1
-2.035,-3.7421,0
-7.4316,0.86322,0
1.0455,-2.9951,0
-5.8642,-2.0334,0
6.1385,3.0644,0
-5.4512,-0.5625,1
6.0591,2.4617,0
-1.8683,1.4268,0
0.25127,-2.6892,0
1.1697,-0.50798,1
-0.30747,-0.71241,1
3.4564,-2.9124,0
3.5556,2.0483,1
6.7618,-3.0373,0
6.0472,2.6422,0
-2.1288,-2.458,0
-3.9458,2.1536,1
1.6265,-2.6743,0
7.2969,-0.15067,0
2.2686,1.6906,0
7.6766,-3.2059,0
2.9415,-2.9958,0
5.3058,-2.027,0
7.3818,3.2232,0
5.6533,0.69593,1
3.5346,2.2818,1
-7.3492,-1.2103,0
-2.5838,2.1484,0
-1.3183,-3.3723,0
-3.9281,1.0827,1
-7.7852,3.3747,0
-6.4688,-1.565,0
-5.6992,-1.1797,1
6.5351,0.24082,1
-2.4947,0.36593,1
2.4832,-0.25249,1
-6.2587,-0.12259,1
2.3679,3.1043,0
6.2678,3.0025,0
-0.078995,-1.0322,1
-4.059,-3.067,0
-6.5022,-3.7238,0
1.1495,-1.8206,0
6.282,-1.1344,1
-4.1332,-0.38781,1
2.463,-0.01392,1
-1.1644,1.6672,0
3.7588,3.7115,0
1.4178,-1.0603,1
-3.7694,-1.3129,1
0.59798,1.921,1
-3.1277,-2.8728,0
5.5658,1.5569,1
-1.4837,-2.5236,0
5.2939,3.0288,0
4.2058,-2.6589,0
3.945,3.3857,0
-0.48195,-3.9277,0
6.1441,-2.6323,0
7.1533,3.057,0
0.25232,0.58651,1
6.794,1.5581,0
7.9223,0.27068,0
-3.2876,-1.0768,1
2.0776,0.68536,1
1.9352,2.327,0
2.1537,-2.014,0
-6.8018,-1.6932,0
3.2193,-3.9104,0
-5.0502,0.33241,1
0.15513,-0.43676,1
4.5703,1.102,1
0.68072,1.5981,1
-2.4614,-0.78382,1
-6.995,-0.81118,0
-6.3207,3.0735,0
-7.0836,-3.8132,0
-2.2391,0.68538,1
